#### LISLE 0.5 W IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0086	2009-10-12	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-10-13	3	-9999	-9999	0.01
COCORAHS	US1ILDP0086	2009-10-14	5	-9999	-9999	0.02
COCORAHS	US1ILDP0086	2009-10-15	69	-9999	-9999	0.27
COCORAHS	US1ILDP0086	2009-10-16	38	-9999	-9999	0.15
COCORAHS	US1ILDP0086	2009-10-17	8	-9999	-9999	0.03
COCORAHS	US1ILDP0086	2009-10-18	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-10-19	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-10-21	5	-9999	-9999	0.02
COCORAHS	US1ILDP0086	2009-10-22	3	-9999	-9999	0.01
COCORAHS	US1ILDP0086	2009-10-23	455	-9999	-9999	1.79
COCORAHS	US1ILDP0086	2009-10-24	69	-9999	-9999	0.27
COCORAHS	US1ILDP0086	2009-10-25	8	-9999	-9999	0.03
COCORAHS	US1ILDP0086	2009-10-26	58	-9999	-9999	0.23
COCORAHS	US1ILDP0086	2009-10-27	10	-9999	-9999	0.04
COCORAHS	US1ILDP0086	2009-10-28	33	-9999	-9999	0.13
COCORAHS	US1ILDP0086	2009-10-29	3	-9999	-9999	0.01
COCORAHS	US1ILDP0086	2009-10-30	279	-9999	-9999	1.1
COCORAHS	US1ILDP0086	2009-10-31	117	-9999	-9999	0.46
COCORAHS	US1ILDP0086	2009-11-01	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-02	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-03	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-04	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-05	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-06	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-07	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-08	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-09	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-10	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-11	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-12	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-13	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-14	0	0	-9999	0.0
COCORAHS	US1ILDP0086	2009-11-15	0	-9999	-9999	0.0
