#### LOMBARD 1.2 NNW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILDP0083	2009-06-09	0	-9999	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-10	0	-9999	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-11	30	-9999	-9999	0.12
COCORAHS	US1ILDP0083	2009-06-12	20	-9999	-9999	0.08
COCORAHS	US1ILDP0083	2009-06-13	25	-9999	-9999	0.1
COCORAHS	US1ILDP0083	2009-06-14	124	-9999	-9999	0.49
COCORAHS	US1ILDP0083	2009-06-15	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-16	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-17	241	-9999	-9999	0.95
COCORAHS	US1ILDP0083	2009-06-18	38	-9999	-9999	0.15
COCORAHS	US1ILDP0083	2009-06-19	8	-9999	-9999	0.03
COCORAHS	US1ILDP0083	2009-06-20	234	-9999	-9999	0.92
COCORAHS	US1ILDP0083	2009-06-21	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-22	53	-9999	-9999	0.21
COCORAHS	US1ILDP0083	2009-06-23	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-24	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-25	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-26	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-27	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-28	30	-9999	-9999	0.12
COCORAHS	US1ILDP0083	2009-06-29	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-06-30	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-01	0	-9999	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-02	0	-9999	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-07	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-08	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-09	97	-9999	-9999	0.38
COCORAHS	US1ILDP0083	2009-07-10	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-11	391	-9999	-9999	1.54
COCORAHS	US1ILDP0083	2009-07-12	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-13	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-14	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-15	79	-9999	-9999	0.31
COCORAHS	US1ILDP0083	2009-07-27	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-28	30	-9999	-9999	0.12
COCORAHS	US1ILDP0083	2009-07-29	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-30	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-07-31	178	-9999	-9999	0.7
COCORAHS	US1ILDP0083	2009-08-01	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-02	3	-9999	-9999	0.01
COCORAHS	US1ILDP0083	2009-08-03	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-04	0	-9999	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-05	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-06	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-07	0	-9999	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-08	132	-9999	-9999	0.52
COCORAHS	US1ILDP0083	2009-08-09	3	-9999	-9999	0.01
COCORAHS	US1ILDP0083	2009-08-10	43	-9999	-9999	0.17
COCORAHS	US1ILDP0083	2009-08-11	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-12	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-13	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-14	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-15	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-16	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-17	371	-9999	-9999	1.46
COCORAHS	US1ILDP0083	2009-08-18	76	-9999	-9999	0.3
COCORAHS	US1ILDP0083	2009-08-19	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-20	104	-9999	-9999	0.41
COCORAHS	US1ILDP0083	2009-08-21	5	-9999	-9999	0.02
COCORAHS	US1ILDP0083	2009-08-22	13	-9999	-9999	0.05
COCORAHS	US1ILDP0083	2009-08-23	0	-9999	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-24	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-25	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-08-26	102	-9999	-9999	0.4
COCORAHS	US1ILDP0083	2009-08-27	290	-9999	-9999	1.14
COCORAHS	US1ILDP0083	2009-08-28	97	-9999	-9999	0.38
COCORAHS	US1ILDP0083	2009-08-29	10	-9999	-9999	0.04
COCORAHS	US1ILDP0083	2009-08-30	3	-9999	-9999	0.01
COCORAHS	US1ILDP0083	2009-08-31	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-01	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-02	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-03	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-04	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-05	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-06	13	-9999	-9999	0.05
COCORAHS	US1ILDP0083	2009-09-07	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-08	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-09	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-10	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-11	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-12	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-13	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-14	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-15	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-16	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-17	0	0	-9999	0.0
COCORAHS	US1ILDP0083	2009-09-18	0	0	-9999	0.0
