#### USGS	414020088014601	RAIN GAGE AT DES PLAINES RIVER NEAR LEMONT, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	414020088014601	2011-08-08	0.56	P
USGS	414020088014601	2011-08-09	0.00	P
USGS	414020088014601	2011-08-10	0.00	P
USGS	414020088014601	2011-08-11	0.00	P
USGS	414020088014601	2011-08-12	0.00	P
USGS	414020088014601	2011-08-13	0.64	P
USGS	414020088014601	2011-08-14	0.00	P
USGS	414020088014601	2011-08-15	0.00	P
USGS	414020088014601	2011-08-16	0.00	P
USGS	414020088014601	2011-08-17	0.00	P
USGS	414020088014601	2011-08-18	0.01	P
USGS	414020088014601	2011-08-19	0.00	P
USGS	414020088014601	2011-08-20	0.73	P
USGS	414020088014601	2011-08-21	0.04	P
USGS	414020088014601	2011-08-22	0.00	P
USGS	414020088014601	2011-08-23	1.23	P
USGS	414020088014601	2011-08-24	0.00	P
USGS	414020088014601	2011-08-25	0.00	P
USGS	414020088014601	2011-08-26	0.00	P
USGS	414020088014601	2011-08-27	0.00	P
USGS	414020088014601	2011-08-28	0.00	P
USGS	414020088014601	2011-08-29	0.00	P
USGS	414020088014601	2011-08-30	0.10	P
USGS	414020088014601	2011-08-31	0.03	P
USGS	414020088014601	2011-09-01	0.00	P
USGS	414020088014601	2011-09-02	0.00	P
USGS	414020088014601	2011-09-03	0.71	P
USGS	414020088014601	2011-09-04	0.00	P
USGS	414020088014601	2011-09-05	0.00	P
USGS	414020088014601	2011-09-06	0.00	P
USGS	414020088014601	2011-09-07	0.00	P
USGS	414020088014601	2011-09-08	0.00	P
USGS	414020088014601	2011-09-09	0.01	P
USGS	414020088014601	2011-09-10	0.00	P
USGS	414020088014601	2011-09-11	0.00	P
USGS	414020088014601	2011-09-12	0.00	P
USGS	414020088014601	2011-09-13	0.00	P
USGS	414020088014601	2011-09-14	0.03	P
USGS	414020088014601	2011-09-15	0.00	P
USGS	414020088014601	2011-09-16	0.00	P
USGS	414020088014601	2011-09-17	0.00	P
USGS	414020088014601	2011-09-18	0.18	P
USGS	414020088014601	2011-09-19	0.29	P
USGS	414020088014601	2011-09-20	0.00	P
USGS	414020088014601	2011-09-21	0.00	P
USGS	414020088014601	2011-09-22	0.00	P
USGS	414020088014601	2011-09-23	0.00	P
USGS	414020088014601	2011-09-24	0.01	P
USGS	414020088014601	2011-09-25	0.07	P
USGS	414020088014601	2011-09-26	1.23	P
USGS	414020088014601	2011-09-27	0.11	P
USGS	414020088014601	2011-09-28	0.28	P
USGS	414020088014601	2011-09-29	0.14	P
USGS	414020088014601	2011-09-30	0.00	P
USGS	414020088014601	2011-10-01	0.00	P
USGS	414020088014601	2011-10-02	0.00	P
USGS	414020088014601	2011-10-03	0.00	P
USGS	414020088014601	2011-10-04	0.00	P
USGS	414020088014601	2011-10-05	0.00	P
USGS	414020088014601	2011-10-06	0.00	P
USGS	414020088014601	2011-10-07	0.00	P
USGS	414020088014601	2011-10-08	0.00	P
USGS	414020088014601	2011-10-09	0.00	P
USGS	414020088014601	2011-10-10	0.00	P
USGS	414020088014601	2011-10-11	0.00	P
USGS	414020088014601	2011-10-12	0.00	P
USGS	414020088014601	2011-10-13	0.41	P
USGS	414020088014601	2011-10-14	0.01	P
USGS	414020088014601	2011-10-15	0.00	P
USGS	414020088014601	2011-10-16	0.06	P
USGS	414020088014601	2011-10-17	0.00	P
USGS	414020088014601	2011-10-18	0.00	P
USGS	414020088014601	2011-10-19	0.21	P
USGS	414020088014601	2011-10-20	0.01	P
USGS	414020088014601	2011-10-21	0.00	P
USGS	414020088014601	2011-10-22	0.00	P
USGS	414020088014601	2011-10-23	0.19	P
USGS	414020088014601	2011-10-24	0.01	P
USGS	414020088014601	2011-10-25	0.19	P
USGS	414020088014601	2011-10-26	0.00	P
USGS	414020088014601	2011-10-27	0.03	P
USGS	414020088014601	2011-10-28	0.00	P
USGS	414020088014601	2011-10-29	0.00	P
USGS	414020088014601	2011-10-30	0.06	P
USGS	414020088014601	2011-10-31	0.00	P
USGS	414020088014601	2011-11-01	0.00	P
USGS	414020088014601	2011-11-02	0.00	P
USGS	414020088014601	2011-11-03	0.01	P
USGS	414020088014601	2011-11-04	0.00	P
USGS	414020088014601	2011-11-05	0.00	P
USGS	414020088014601	2011-11-06	0.00	P
USGS	414020088014601	2011-11-07	0.06	P
USGS	414020088014601	2011-11-08	0.65	P
USGS	414020088014601	2011-11-09		
