#### USGS	414411087575000	MARIENBROOK WWTF AT DARIEN, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	414411087575000	2002-06-17	0.00	A
USGS	414411087575000	2002-06-18	0.00	A
USGS	414411087575000	2002-06-19	0.00	A
USGS	414411087575000	2002-06-20	0.00	A
USGS	414411087575000	2002-06-21	0.00	A
USGS	414411087575000	2002-06-22	0.00	A
USGS	414411087575000	2002-06-23	0.00	A
USGS	414411087575000	2002-06-24	0.00	A
USGS	414411087575000	2002-06-25	0.14	A
USGS	414411087575000	2002-06-26	0.00	A
USGS	414411087575000	2002-06-27	0.00	A
USGS	414411087575000	2002-06-28	0.00	A
USGS	414411087575000	2002-06-29	0.00	A
USGS	414411087575000	2002-06-30	0.00	A
USGS	414411087575000	2002-07-01	0.00	A
USGS	414411087575000	2002-07-02	0.00	A
USGS	414411087575000	2002-07-03	0.00	A
USGS	414411087575000	2002-07-04	0.55	A
USGS	414411087575000	2002-07-05	0.00	A
USGS	414411087575000	2002-07-06	0.00	A
USGS	414411087575000	2002-07-07	0.00	A
USGS	414411087575000	2002-07-08	0.02	A
USGS	414411087575000	2002-07-09	1.26	A
USGS	414411087575000	2002-07-10	0.00	A
USGS	414411087575000	2002-07-11	0.00	A
USGS	414411087575000	2002-07-12	0.00	A
USGS	414411087575000	2002-07-13	0.00	A
USGS	414411087575000	2002-07-14	0.00	A
USGS	414411087575000	2002-07-15	0.00	A
USGS	414411087575000	2002-07-16	0.00	A
USGS	414411087575000	2002-07-17	0.00	A
USGS	414411087575000	2002-07-18	0.00	A
USGS	414411087575000	2002-07-19	0.00	A
USGS	414411087575000	2002-07-20	0.00	A
USGS	414411087575000	2002-07-21	0.00	A
USGS	414411087575000	2002-07-22	0.00	A
USGS	414411087575000	2002-07-23	0.00	A
USGS	414411087575000	2002-07-24	0.00	A
USGS	414411087575000	2002-07-25	0.00	A
USGS	414411087575000	2002-07-26	0.00	A
USGS	414411087575000	2002-07-27	0.27	A
USGS	414411087575000	2002-07-28	0.00	A
USGS	414411087575000	2002-07-29	0.03	A
USGS	414411087575000	2002-07-30	0.00	A
USGS	414411087575000	2002-07-31	0.00	A
USGS	414411087575000	2002-08-01	0.00	A
USGS	414411087575000	2002-08-02	0.04	A
USGS	414411087575000	2002-08-03	0.00	A
USGS	414411087575000	2002-08-04	1.50	A
USGS	414411087575000	2002-08-05	0.00	A
USGS	414411087575000	2002-08-06	0.00	A
USGS	414411087575000	2002-08-07	0.00	A
USGS	414411087575000	2002-08-08	0.00	A
USGS	414411087575000	2002-08-09	0.00	A
USGS	414411087575000	2002-08-10	0.00	A
USGS	414411087575000	2002-08-11	0.00	A
USGS	414411087575000	2002-08-12	0.00	A
USGS	414411087575000	2002-08-13	0.38	A
USGS	414411087575000	2002-08-14	0.00	A
USGS	414411087575000	2002-08-15	0.00	A
USGS	414411087575000	2002-08-16	0.06	A
USGS	414411087575000	2002-08-17	0.00	A
USGS	414411087575000	2002-08-18	0.00	A
USGS	414411087575000	2002-08-19	0.18	A
USGS	414411087575000	2002-08-20	0.00	A
USGS	414411087575000	2002-08-21	0.00	A
USGS	414411087575000	2002-08-22	1.59	A
USGS	414411087575000	2002-08-23	0.62	A
USGS	414411087575000	2002-08-24	0.00	A
USGS	414411087575000	2002-08-25	0.00	A
USGS	414411087575000	2002-08-26	0.00	A
USGS	414411087575000	2002-08-27	0.00	A
USGS	414411087575000	2002-08-28	0.00	A
USGS	414411087575000	2002-08-29	0.00	A
USGS	414411087575000	2002-08-30	0.00	A
USGS	414411087575000	2002-08-31	0.00	A
USGS	414411087575000	2002-09-01	0.00	A
USGS	414411087575000	2002-09-02	0.08	A
USGS	414411087575000	2002-09-03	0.00	A
USGS	414411087575000	2002-09-04	0.00	A
USGS	414411087575000	2002-09-05	0.00	A
USGS	414411087575000	2002-09-06	0.00	A
USGS	414411087575000	2002-09-07	0.00	A
USGS	414411087575000	2002-09-08	0.44	A
USGS	414411087575000	2002-09-09	0.00	A
USGS	414411087575000	2002-09-10	0.03	A
USGS	414411087575000	2002-09-11	0.00	A
USGS	414411087575000	2002-09-12	0.00	A
USGS	414411087575000	2002-09-13	0.00	A
USGS	414411087575000	2002-09-14	0.00	A
USGS	414411087575000	2002-09-15	0.00	A
USGS	414411087575000	2002-09-16	0.00	A
USGS	414411087575000	2002-09-17	0.00	A
USGS	414411087575000	2002-09-18	0.51	A
USGS	414411087575000	2002-09-19	0.25	A
USGS	414411087575000	2002-09-20	0.19	A
USGS	414411087575000	2002-09-21	0.00	A
USGS	414411087575000	2002-09-22	0.17	A
USGS	414411087575000	2002-09-23	0.00	A
USGS	414411087575000	2002-09-24	0.00	A
USGS	414411087575000	2002-09-25	0.00	A
USGS	414411087575000	2002-09-26	0.00	A
USGS	414411087575000	2002-09-27	0.00	A
USGS	414411087575000	2002-09-28	0.00	A
USGS	414411087575000	2002-09-29	0.23	A
USGS	414411087575000	2002-09-30	0.00	A
USGS	414411087575000	2002-10-01	0.00	A
USGS	414411087575000	2002-10-02	0.09	A
USGS	414411087575000	2002-10-03	0.00	A
USGS	414411087575000	2002-10-04	0.67	A
USGS	414411087575000	2002-10-05	0.00	A
USGS	414411087575000	2002-10-06	0.00	A
USGS	414411087575000	2002-10-07	0.00	A
USGS	414411087575000	2002-10-08	0.00	A
USGS	414411087575000	2002-10-09	0.00	A
USGS	414411087575000	2002-10-10	0.00	A
USGS	414411087575000	2002-10-11	0.00	A
USGS	414411087575000	2002-10-12	0.09	A
USGS	414411087575000	2002-10-13	0.00	A
USGS	414411087575000	2002-10-14	0.00	A
USGS	414411087575000	2002-10-15	0.00	A
USGS	414411087575000	2002-10-16	0.00	A
USGS	414411087575000	2002-10-17	0.06	A
USGS	414411087575000	2002-10-18	0.01	A
