2007-02-01 00:00:00 - 2012-09-30 23:00:00
Station	Missing days in analysis
05531300	1
05531410	119
05533400	60
05540130	307
414158088095600	439
414306088042100	0
414411087575000	167
414430088035600	49
414613088091000	1
414655088102300	102
414747087582700	267
414843088042500	92
415037087581700	25
415037088110600	128
415125088045700	2
415300088054600	23
415356087575000	46
415518087583000	28
415651088051900	178
415751087591000	185
415755087525300	302
415801088095700	91
420052088034200	214
420453088043200	237
420745088025901	300
